Location,Class Name,Class Type,First Class Time,No dog first class,Skip Day,misc
Poland,Puppy Power Hour - $20​​​,MINI CLASSES,,,,Monday 4/10/23 at 5:45 PM with Sam Ragan
Poland,Puppy Power Hour - $20​​​,MINI CLASSES,,,,Monday 4/17/23 at 5:45 PM with Sam Ragan
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,Saturday 4/8/23 at 2:45 PM with Heather Constiner
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,skip days 5/27 & 7/1​,Saturday 5/20/23 at 2:45 PM with Heather Constiner
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,Saturday 7/15/23 at 3:45 PM with Heather Constiner
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,Saturday 8/26/23 at 2:45 PM with Heather Constiner
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,Saturday 10/7/23 at 2:45 PM with Heather Constiner
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,
Warren,Puppy Class - AKC S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS ,,,,Saturday 11/18/23 at 2:45 PM with Heather Constiner
Warren,Beginner Obedience-Level 1 - $139,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​​,,,Wednesday 4/5/23 at 7:00 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $140,OBEDIENCE & MANNERS,First class is 7:30pm-9:30pm; no dogs​,,,Friday 4/7/23 at 7:30 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $141,OBEDIENCE & MANNERS,First class is 1:15pm-3:15pm; no dogs​​,,,Sunday 4/16/23 at 1:15 PM with Heather Huff
Warren,Beginner Obedience-Level 1 - $142,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs​​,,,Monday 4/17/23 at 7:00 PM with April Courtney
Warren,Beginner Obedience-Level 1 - $143,OBEDIENCE & MANNERS,First class is 5:45pm-7:45pm; no dogs​,,,Wednesday 4/26/23 at 5:45 PM with Heather Huff
