Location,Class Name,Class Type,First Class Info,Skip Day,Price,Instructor Name,Start Date and Time
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs,,$139 ,April Courtney,04/17/2023 07:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 5:45pm-7:45pm; no dogs,,$139 ,Heather Huff,04/26/2023 05:45 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 10:45am-12:45pm; no dogs,,$139 ,Heather Constiner,05/05/2023 10:45 AM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 12pm-2pm; no dogs,Skip days 5/14 & 5/28,$139 ,Heather Huff,05/07/2023 12:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs,,$139 ,April Courtney,05/17/2023 00:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7:30pm-9:30pm; no dogs,,$139 ,April Courtney,05/19/2023 07:30 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7:00pm-9:00pm; no dogs,Skip day 7/3 ,$139 ,April Courtney,06/05/2023 07:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 5:45pm-7:45pm; no dogs,Skip day 7/5,$139 ,Heather Huff,06/07/2023 05:45 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 1:15pm-3:15pm; no dogs,Skip days 7/2 & 7/9,$139 ,Heather Huff,06/11/2023 01:15 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs,,$139 ,April Courtney,06/28/2023 00:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7:30pm-9:30pm; no dogs,,$139 ,April Courtney,07/07/2023 07:30 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 12pm-2pm; no dogs,,$139 ,Heather Huff,07/16/2023 12:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 7pm-9pm; no dogs,,$139 ,April Courtney,07/24/2023 00:00 PM
Warren,Beginner Obedience-Level 1 ,OBEDIENCE & MANNERS,First class is 1:15pm-3:15pm; no dogs,Skip day 9/3,$139 ,Heather Huff,08/06/2023 01:15 PM
